@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}

@data
950,'2016/10/06 17:30:20:250',32,367.562378,283.943939,54.081768,454.796631,300.150879,58.199589,469.464478,307.920593,60.060593,501.864746,315.396973,61.058308,538.929565,317.606537,60.365707,1
951,'2016/10/06 17:30:20:302',32,367.33197,283.220093,54.192116,454.632019,299.277283,58.376923,468.879547,306.547333,60.420147,501.586914,314.406799,61.349609,538.916748,316.937164,60.619965,1
952,'2016/10/06 17:30:20:351',32,366.836609,281.698181,54.43446,454.625732,298.08786,58.605495,468.969788,305.343323,60.644051,501.480774,313.284729,61.585171,538.733765,316.028076,60.852226,1
953,'2016/10/06 17:30:20:401',32,366.862427,281.771362,54.413208,455.259338,298.036072,58.592316,469.909424,305.30484,60.579926,501.638184,312.826782,61.759384,539.304565,315.732788,60.928375,1
954,'2016/10/06 17:30:20:450',32,366.872375,281.818573,54.408379,455.392426,297.979126,58.640083,469.721924,305.044556,60.725407,501.591614,312.656982,61.887802,539.444763,315.64325,61.032547,1
955,'2016/10/06 17:30:20:502',32,366.423584,281.41745,54.544624,455.157104,297.474579,58.746563,469.571716,304.468079,60.830666,501.333069,311.965332,62.03157,539.244507,314.893188,61.182419,1
956,'2016/10/06 17:30:20:552',32,366.054962,281.085114,54.624966,454.831909,297.429077,58.825996,469.128632,304.445251,60.899632,500.729004,311.856964,62.136398,538.711426,314.733459,61.289078,1
957,'2016/10/06 17:30:20:600',32,365.828888,280.664978,54.690762,454.462524,297.493713,58.880753,468.559723,304.620026,60.933296,499.773499,312.081787,62.207672,537.780334,314.89505,61.37899,1
958,'2016/10/06 17:30:20:655',32,365.422485,280.270996,54.840919,454.397217,298.209534,58.884472,468.588348,305.806885,60.737473,498.57196,312.69632,62.273117,536.538574,315.250122,61.504616,1
959,'2016/10/06 17:30:20:700',32,364.781616,279.975159,54.999809,454.679199,299.147614,58.821629,469.769104,307.903351,60.206207,497.563477,313.335815,62.301289,535.348694,315.451843,61.633186,1
960,'2016/10/06 17:30:20:751',32,364.257141,279.808563,55.091576,456.135254,300.827606,58.449455,471.658264,310.309479,59.47599,496.778442,314.257629,62.196701,534.265991,315.866119,61.631592,1
961,'2016/10/06 17:30:20:802',32,363.314087,279.702881,55.178612,456.494446,301.748413,58.274979,471.196075,310.685974,59.443802,495.842682,315.457092,61.962364,532.571411,316.373352,61.562447,1
962,'2016/10/06 17:30:20:849',32,363.071442,279.914246,55.19326,456.37439,302.022736,58.281345,470.743988,310.959198,59.49556,496.010712,316.616211,61.648666,532.046875,317.090881,61.34623,1
963,'2016/10/06 17:30:20:900',32,362.840576,280.046692,55.217274,456.017883,302.233063,58.308491,469.738831,311.089844,59.637058,496.068848,317.294006,61.457283,531.654175,317.461761,61.262783,1
964,'2016/10/06 17:30:20:950',32,362.774017,280.208618,55.226608,455.716248,302.294128,58.319603,469.319366,311.066711,59.687798,496.241211,317.566772,61.316933,531.502136,317.541809,61.16861,1
965,'2016/10/06 17:30:21:000',32,362.986725,280.315155,55.222782,455.52417,302.467133,58.34605,468.442078,311.043518,59.866375,496.622681,317.852661,61.206985,531.670532,317.729614,61.080132,1
966,'2016/10/06 17:31:19:100',33,330.339111,311.981689,48.313572,332.470734,299.547913,53.384953,378.557129,303.518982,57.845745,436.905273,319.772949,59.425995,461.608429,324.554016,56.584511,5
967,'2016/10/06 17:31:19:152',33,330.282318,312.162964,48.289272,332.95929,298.458618,53.407257,379.238525,301.688599,57.84761,438.216675,318.822723,59.434422,462.38269,324.013733,56.569695,5
968,'2016/10/06 17:31:19:200',33,330.193054,312.332947,48.238194,333.02948,297.262451,53.364811,379.582306,300.486664,57.819942,439.107025,318.251099,59.421303,462.965942,323.544983,56.52718,5
969,'2016/10/06 17:31:19:249',33,330.285828,312.575775,48.079376,332.574127,296.927338,53.210022,378.707367,299.995911,57.706867,439.409607,317.77063,59.381763,463.511566,323.000488,56.479404,5
970,'2016/10/06 17:31:19:299',33,330.514526,312.90033,47.868626,332.524048,296.956635,53.030472,377.701294,299.203064,57.534306,440.053955,317.322449,59.361229,463.712799,322.859924,56.430393,5
971,'2016/10/06 17:31:19:351',33,330.813873,312.636597,47.763988,333.368774,296.15271,52.994637,377.56781,297.902893,57.445541,441.836334,316.494995,59.401012,464.956085,322.263611,56.443676,5
972,'2016/10/06 17:31:19:399',33,331.325439,312.215179,47.663479,334.134338,295.844116,53.035496,377.93515,297.441101,57.442307,442.48233,316.441864,59.428616,465.825256,322.001221,56.465305,5
973,'2016/10/06 17:31:19:452',33,331.414307,312.60083,47.618938,334.405853,296.005737,53.096554,377.392426,297.441437,57.450356,442.21637,316.428894,59.495235,465.981323,321.955597,56.540264,5
974,'2016/10/06 17:31:19:499',33,331.552765,312.768494,47.58194,334.596252,296.153015,53.138466,376.77475,297.254913,57.410126,442.678528,315.86792,59.558125,466.223755,321.803894,56.602848,5
975,'2016/10/06 17:31:19:550',33,331.619141,312.898224,47.543839,334.994629,296.062622,53.184673,376.089417,296.319641,57.334286,443.985199,315.30835,59.658775,467.025085,321.344299,56.637131,5
976,'2016/10/06 17:31:19:601',33,331.046936,313.424622,47.440704,334.820953,296.61499,53.224655,374.841003,296.805908,57.270226,443.755798,316.209595,59.62479,467.141785,321.72168,56.565845,5
977,'2016/10/06 17:31:19:651',33,330.713593,313.740326,47.385399,334.659058,297.216492,53.255714,373.903778,297.274902,57.145229,443.502045,317.018005,59.575851,466.964844,322.232544,56.495296,5
978,'2016/10/06 17:31:19:699',33,330.752197,313.762573,47.377922,334.741913,297.374939,53.272499,373.526215,297.351654,57.102913,443.663971,317.19516,59.568146,467.250244,322.215332,56.497379,5
979,'2016/10/06 17:31:19:749',33,331.097137,313.875122,47.378483,334.990692,297.461121,53.267372,373.601135,297.516113,57.105713,444.052521,317.260803,59.581394,467.629211,322.194,56.516605,5
980,'2016/10/06 17:31:19:800',33,331.397858,313.793488,47.371132,335.214966,297.354858,53.252995,373.799591,297.530853,57.107697,444.346954,317.308655,59.584087,467.921997,322.169373,56.517029,5
981,'2016/10/06 17:31:19:848',33,331.453491,313.704285,47.378551,335.12207,297.288177,53.251663,373.701202,297.500427,57.108547,444.41394,317.239929,59.580635,467.94162,322.076599,56.514118,5
982,'2016/10/06 17:31:19:900',33,331.628754,313.596436,47.381924,334.988861,297.212341,53.242569,373.58432,297.439606,57.111477,444.501617,317.115601,59.5867,467.993561,321.943298,56.520363,5
983,'2016/10/06 17:31:19:951',33,331.894592,313.525513,47.388847,335.047302,297.141724,53.237816,373.719421,297.413452,57.120415,444.640137,317.078918,59.591858,468.119934,321.88208,56.523891,5
984,'2016/10/06 17:31:20:000',33,332.00119,313.473328,47.378559,335.155762,297.043335,53.220123,373.954346,297.323212,57.119583,444.826996,316.95282,59.5867,468.307556,321.730286,56.517555,5
985,'2016/10/06 17:31:20:050',33,331.950684,313.510925,47.348942,335.42984,296.729156,53.162292,374.201019,297.068085,57.089539,445.019043,316.711853,59.572121,468.538147,321.493408,56.50919,5
986,'2016/10/06 17:31:20:099',33,331.909058,313.621857,47.323162,335.498901,296.265045,53.058964,374.263306,296.765076,57.045235,445.089478,316.455139,59.547359,468.622589,321.243134,56.48238,5
987,'2016/10/06 17:31:20:151',33,331.904663,313.427307,47.287041,335.115875,296.06485,52.989185,374.086304,296.55603,57.045448,445.097412,316.240723,59.542564,468.58725,321.06366,56.47282,5
988,'2016/10/06 17:31:20:199',33,331.731995,313.269287,47.273155,334.881256,295.806885,52.964706,374.03598,296.377869,57.058914,445.097473,316.066681,59.546394,468.545135,320.900208,56.467602,5
989,'2016/10/06 17:31:20:252',33,331.737488,313.223145,47.281479,334.676727,295.719299,52.942371,374.297882,296.529114,57.089691,445.064819,316.14624,59.548565,468.487732,320.901947,56.458565,5
990,'2016/10/06 17:31:20:299',33,331.976135,313.185852,47.302376,334.737274,296.054199,52.964752,375.112854,297.417999,57.164227,444.424194,317.146606,59.521599,468.271667,321.469971,56.403271,5
991,'2016/10/06 17:31:20:351',33,332.888977,313.193176,47.309696,335.182495,296.853241,52.955345,376.960327,299.285156,57.252197,444.383057,318.389648,59.449467,468.608582,322.218811,56.321014,5
992,'2016/10/06 17:31:20:401',33,332.985443,313.009033,47.306614,334.915039,297.539093,52.954548,377.794189,300.450562,57.327732,444.169403,318.859772,59.414089,468.059875,322.761108,56.275665,5
993,'2016/10/06 17:31:20:450',33,332.987122,312.89209,47.329914,334.994934,297.774933,52.971989,378.348022,301.034485,57.359558,444.316376,318.978241,59.38493,468.059814,322.902405,56.232136,5
994,'2016/10/06 17:31:20:500',33,333.076294,312.820374,47.340294,334.932495,298.176514,52.978428,378.564362,301.459045,57.377342,444.144287,319.094299,59.378361,467.850952,323.040009,56.226074,5
995,'2016/10/06 17:31:20:548',33,332.913757,312.821594,47.352051,334.770935,298.241943,52.991432,378.471436,301.344788,57.432083,443.839142,318.957123,59.38065,467.423035,323.068237,56.235813,5
996,'2016/10/06 17:31:20:600',33,332.971985,312.75351,47.372551,334.919281,298.259216,53.001347,378.844513,301.635376,57.466244,443.750549,319.095001,59.369244,467.347168,323.238495,56.23151,5
997,'2016/10/06 17:31:20:651',33,332.846497,312.69928,47.324535,334.595398,298.524292,52.92395,378.365051,302.013916,57.408485,443.240784,319.152435,59.329575,466.887177,323.381897,56.210518,5
998,'2016/10/06 17:31:20:702',33,332.561066,312.878967,47.225067,334.027649,298.764343,52.809269,377.062927,302.166077,57.280178,442.100037,319.092346,59.272011,466.00647,323.426208,56.198551,5
999,'2016/10/06 17:31:20:750',33,331.598267,312.753082,47.136932,332.928833,298.639832,52.751728,374.503967,301.338074,57.18309,439.694794,318.234863,59.314991,464.253632,323.034241,56.372162,5
1000,'2016/10/06 17:31:20:802',33,330.57428,312.811523,47.106689,331.967438,298.296661,52.738663,371.924957,300.167847,57.142517,436.827942,316.932251,59.363834,462.555542,322.668762,56.606174,5
1001,'2016/10/06 17:31:20:852',33,330.073853,312.964172,47.087105,331.934204,298.178589,52.765465,371.196411,299.749939,57.136604,435.859863,316.179504,59.377449,462.184387,322.539185,56.693203,5
1002,'2016/10/06 17:31:20:900',33,329.621857,313.394562,47.087234,332.033508,298.185669,52.813618,371.080109,299.035858,57.127987,435.641174,315.593689,59.388802,462.434143,322.473145,56.762791,5
1003,'2016/10/06 17:31:20:951',33,329.866577,313.183716,47.011742,331.849792,298.702759,52.916439,370.571045,298.879517,57.115757,435.665405,315.64328,59.429771,462.810059,322.687622,56.815319,5
1004,'2016/10/06 17:31:21:000',33,331.235931,312.720337,46.98732,331.809082,299.260681,53.019356,370.319427,299.005127,57.137806,437.105652,316.084045,59.514641,463.75531,322.89621,56.81617,5
1005,'2016/10/06 17:31:21:050',33,331.907135,312.684784,47.069649,331.77478,299.833435,53.185261,370.105682,299.576202,57.240448,438.179993,316.502991,59.643532,464.434052,323.072388,56.885979,5
1006,'2016/10/06 17:31:21:103',33,331.964752,312.815002,47.137081,331.468567,300.024445,53.281654,369.662903,299.503601,57.243149,438.869324,316.340698,59.721222,464.723083,322.884949,56.94986,5
1007,'2016/10/06 17:31:21:152',33,330.988342,313.175934,47.258057,330.620178,299.654419,53.328552,368.727875,299.018921,57.266228,438.185608,315.637756,59.775005,464.236084,322.269348,57.02578,5
1008,'2016/10/06 17:31:21:200',33,330.813995,312.850464,47.251102,330.278076,299.377319,53.332832,368.397217,298.575653,57.236671,438.693176,315.143036,59.784103,464.269379,321.915131,57.025291,5
1009,'2016/10/06 17:31:21:250',33,332.021179,312.10907,47.158241,331.190643,300.462952,53.476501,368.567352,300.14679,57.276699,440.691803,315.856567,59.682716,466.047333,322.263916,56.836479,5
1010,'2016/10/06 17:31:26:755',34,235.052307,263.291809,58.557671,225.430878,247.217056,64.216797,259.279755,244.461411,68.345917,317.708923,255.660187,71.477295,357.372131,265.938232,70.191422,5
1011,'2016/10/06 17:31:26:808',34,236.024551,264.358765,58.188316,226.264587,248.789932,63.899685,260.205444,246.023529,68.065155,319.189941,256.999573,71.175797,358.624268,267.065979,69.876366,5
1012,'2016/10/06 17:31:26:855',34,236.714996,264.524475,57.98584,227.012482,249.454254,63.790634,261.770264,246.81633,68.073227,320.246521,257.333191,71.045334,359.621399,267.419617,69.746788,5
1013,'2016/10/06 17:31:26:905',34,237.353668,264.503479,58.02977,227.694412,249.543182,63.849236,262.897491,246.881424,68.143799,321.239929,257.364563,71.063217,360.244904,267.459503,69.720627,5
1014,'2016/10/06 17:31:26:956',34,238.222473,264.658264,58.135094,227.911789,249.44928,63.877342,263.232483,246.722244,68.139694,320.999756,257.124634,71.00824,360.542328,267.382813,69.714134,5
1015,'2016/10/06 17:31:27:007',34,239.656799,265.209412,58.334393,228.855255,249.768372,63.979301,263.69754,247.09285,68.138039,321.13623,257.592651,71.006828,361.648651,268.249512,69.806488,5
1016,'2016/10/06 17:31:27:055',34,241.451096,266.023407,58.514771,230.021225,250.486984,64.019348,264.637482,247.782257,68.109528,322.788116,258.551178,71.056198,363.525879,269.382935,69.848312,5
1017,'2016/10/06 17:31:27:104',34,242.405731,266.452545,58.564323,230.561798,250.813675,63.95562,265.552795,248.167099,68.079117,324.23175,259.159058,71.090828,364.722412,270.006531,69.851036,5
